Time t;Signal Path Loss
0;78.0223
3.09839e-05;78.0223
6.19677e-05;78.0223
9.29516e-05;78.0223
0.000123935;78.0222
0.000154919;78.0222
0.000185903;78.0221
0.000216887;78.022
0.000247871;78.0219
0.000278855;78.0217
0.000309839;78.0216
0.000340823;78.0214
0.000371806;78.0213
0.00040279;78.0211
0.000433774;78.0209
0.000464758;78.0207
0.000495742;78.0204
0.000526726;78.0202
0.00055771;78.0199
0.000588693;78.0197
0.000619677;78.0194
0.000650661;78.0191
0.000681645;78.0188
0.000712629;78.0184
0.000743613;78.0181
0.000774597;78.0177
0.000805581;78.0173
0.000836564;78.017
0.000867548;78.0165
0.000898532;78.0161
0.000929516;78.0157
0.0009605;78.0152
0.000991484;78.0148
0.00102247;78.0143
0.00105345;78.0138
0.00108444;78.0133
0.00111542;78.0128
0.0011464;78.0123
0.00117739;78.0117
0.00120837;78.0111
0.00123935;78.0106
0.00127034;78.01
0.00130132;78.0094
0.00133231;78.0087
0.00136329;78.0081
0.00139427;78.0075
0.00142526;78.0068
0.00145624;78.0061
0.00148723;78.0054
0.00151821;78.0047
0.00154919;78.004
0.00158018;78.0033
0.00161116;78.0025
0.00164214;78.0017
0.00167313;78.001
0.00170411;78.0002
0.0017351;77.9994
0.00176608;77.9985
0.00179706;77.9977
0.00182805;77.9969
0.00185903;77.996
0.00189002;77.9951
0.001921;77.9942
0.00195198;77.9933
0.00198297;77.9924
0.00201395;77.9915
0.00204494;77.9905
0.00207592;77.9896
0.0021069;77.9886
0.00213789;77.9876
0.00216887;77.9866
0.00219985;77.9856
0.00223084;77.9846
0.00226182;77.9835
0.00229281;77.9825
0.00232379;77.9814
0.00235477;77.9803
0.00238576;77.9792
0.00241674;77.9781
0.00244773;77.977
0.00247871;77.9758
0.00250969;77.9747
0.00254068;77.9735
0.00257166;77.9723
0.00260264;77.9711
0.00263363;77.9699
0.00266461;77.9687
0.0026956;77.9675
0.00272658;77.9662
0.00275756;77.965
0.00278855;77.9637
0.00281953;77.9624
0.00285052;77.9611
0.0028815;77.9598
0.00291248;77.9585
0.00294347;77.9571
0.00297445;77.9558
0.00300544;77.9544
0.00303642;77.953
0.0030674;77.9516
0.00309839;77.9502
0.00312937;77.9488
0.00316035;77.9473
0.00319134;77.9459
0.00322232;77.9444
0.00325331;77.9429
0.00328429;77.9415
0.00331527;77.94
0.00334626;77.9384
0.00337724;77.9369
0.00340823;77.9354
0.00343921;77.9338
0.00347019;77.9322
0.00350118;77.9307
0.00353216;77.9291
0.00356314;77.9275
0.00359413;77.9258
0.00362511;77.9242
0.0036561;77.9226
0.00368708;77.9209
0.00371806;77.9192
0.00374905;77.9175
0.00378003;77.9158
0.00381102;77.9141
0.003842;77.9124
0.00387298;77.9107
0.00390397;77.9089
0.00393495;77.9072
0.00396593;77.9054
0.00399692;77.9036
0.0040279;77.9018
0.00405889;77.9
0.00408987;77.8982
0.00412085;77.8963
0.00415184;77.8945
0.00418282;77.8926
0.00421381;77.8907
0.00424479;77.8888
0.00427577;77.8869
0.00430676;77.885
0.00433774;77.8831
0.00436873;77.8812
0.00439971;77.8792
0.00443069;77.8772
0.00446168;77.8753
0.00449266;77.8733
0.00452364;77.8713
0.00455463;77.8693
0.00458561;77.8672
0.0046166;77.8652
0.00464758;77.8632
0.00467856;77.8611
0.00470955;77.859
0.00474053;77.8569
0.00477152;77.8548
0.0048025;77.8527
0.00483348;77.8506
0.00486447;77.8485
0.00489545;77.8463
0.00492643;77.8441
0.00495742;77.842
0.0049884;77.8398
0.00501939;77.8376
0.00505037;77.8354
0.00508135;77.8332
0.00511234;77.8309
0.00514332;77.8287
0.00517431;77.8264
0.00520529;77.8242
0.00523627;77.8219
0.00526726;77.8196
0.00529824;77.8173
0.00532923;77.815
0.00536021;77.8126
0.00539119;77.8103
0.00542218;77.8079
0.00545316;77.8056
0.00548414;77.8032
0.00551513;77.8008
0.00554611;77.7984
0.0055771;77.796
0.00560808;77.7936
0.00563906;77.7911
0.00567005;77.7887
0.00570103;77.7862
0.00573202;77.7838
0.005763;77.7813
0.00579398;77.7788
0.00582497;77.7763
0.00585595;77.7738
0.00588693;77.7713
0.00591792;77.7687
0.0059489;77.7662
0.00597989;77.7636
0.00601087;77.761
0.00604185;77.7585
0.00607284;77.7559
0.00610382;77.7533
0.00613481;77.7506
0.00616579;77.748
0.00619677;77.7454
0.00622776;77.7427
0.00625874;77.7401
0.00628972;77.7374
0.00632071;77.7347
0.00635169;77.732
0.00638268;77.7293
0.00641366;77.7266
0.00644464;77.7239
0.00647563;77.7211
0.00650661;77.7184
0.0065376;77.7156
0.00656858;77.7128
0.00659956;77.7101
0.00663055;77.7073
0.00666153;77.7045
0.00669252;77.7016
0.0067235;77.6988
0.00675448;77.696
0.00678547;77.6931
0.00681645;77.6903
0.00684743;77.6874
0.00687842;77.6845
0.0069094;77.6816
0.00694039;77.6787
0.00697137;77.6758
0.00700235;77.6729
0.00703334;77.67
0.00706432;77.667
0.00709531;77.6641
0.00712629;77.6611
0.00715727;77.6581
0.00718826;77.6551
0.00721924;77.6521
0.00725022;77.6491
0.00728121;77.6461
0.00731219;77.6431
0.00734318;77.64
0.00737416;77.637
0.00740514;77.6339
0.00743613;77.6309
0.00746711;77.6278
0.0074981;77.6247
0.00752908;77.6216
0.00756006;77.6185
0.00759105;77.6154
0.00762203;77.6122
0.00765302;77.6091
0.007684;77.6059
0.00771498;77.6028
0.00774597;77.5996
0.00777695;77.5964
0.00780793;77.5932
0.00783892;77.59
0.0078699;77.5868
0.00790089;77.5836
0.00793187;77.5804
0.00796285;77.5771
0.00799384;77.5739
0.00802482;77.5706
0.00805581;77.5673
0.00808679;77.5641
0.00811777;77.5608
0.00814876;77.5575
0.00817974;77.5542
0.00821072;77.5508
0.00824171;77.5475
0.00827269;77.5442
0.00830368;77.5408
0.00833466;77.5375
0.00836564;77.5341
0.00839663;77.5307
0.00842761;77.5273
0.0084586;77.5239
0.00848958;77.5205
0.00852056;77.5171
0.00855155;77.5137
0.00858253;77.5103
0.00861351;77.5068
0.0086445;77.5034
0.00867548;77.4999
0.00870647;77.4964
0.00873745;77.493
0.00876843;77.4895
0.00879942;77.486
0.0088304;77.4825
0.00886139;77.4789
0.00889237;77.4754
0.00892335;77.4719
0.00895434;77.4683
0.00898532;77.4648
0.00901631;77.4612
0.00904729;77.4576
0.00907827;77.4541
0.00910926;77.4505
0.00914024;77.4469
0.00917122;77.4433
0.00920221;77.4396
0.00923319;77.436
0.00926418;77.4324
0.00929516;77.4287
0.00932614;77.4251
0.00935713;77.4214
0.00938811;77.4177
0.0094191;77.4141
0.00945008;77.4104
0.00948106;77.4067
0.00951205;77.403
0.00954303;77.3993
0.00957401;77.3955
0.009605;77.3918
0.00963598;77.3881
0.00966697;77.3843
0.00969795;77.3805
0.00972893;77.3768
0.00975992;77.373
0.0097909;77.3692
0.00982189;77.3654
0.00985287;77.3616
0.00988385;77.3578
0.00991484;77.354
0.00994582;77.3502
0.00997681;77.3463
0.0100078;77.3425
0.0100388;77.3386
0.0100698;77.3348
0.0101007;77.3309
0.0101317;77.327
0.0101627;77.3232
0.0101937;77.3193
0.0102247;77.3154
0.0102557;77.3115
0.0102866;77.3075
0.0103176;77.3036
0.0103486;77.2997
0.0103796;77.2957
0.0104106;77.2918
0.0104416;77.2878
0.0104725;77.2839
0.0105035;77.2799
0.0105345;77.2759
0.0105655;77.2719
0.0105965;77.2679
0.0106275;77.2639
0.0106585;77.2599
0.0106894;77.2559
0.0107204;77.2519
0.0107514;77.2478
0.0107824;77.2438
0.0108134;77.2397
0.0108444;77.2357
0.0108753;77.2316
0.0109063;77.2275
0.0109373;77.2234
0.0109683;77.2193
0.0109993;77.2152
0.0110303;77.2111
0.0110612;77.207
0.0110922;77.2029
0.0111232;77.1988
0.0111542;77.1946
0.0111852;77.1905
0.0112162;77.1864
0.0112471;77.1822
0.0112781;77.178
0.0113091;77.1739
0.0113401;77.1697
0.0113711;77.1655
0.0114021;77.1613
0.011433;77.1571
0.011464;77.1529
0.011495;77.1487
0.011526;77.1444
0.011557;77.1402
0.011588;77.136
0.011619;77.1317
0.0116499;77.1275
0.0116809;77.1232
0.0117119;77.1189
0.0117429;77.1147
0.0117739;77.1104
0.0118049;77.1061
0.0118358;77.1018
0.0118668;77.0975
0.0118978;77.0932
0.0119288;77.0889
0.0119598;77.0846
0.0119908;77.0802
0.0120217;77.0759
0.0120527;77.0716
0.0120837;77.0672
0.0121147;77.0628
0.0121457;77.0585
0.0121767;77.0541
0.0122076;77.0497
0.0122386;77.0454
0.0122696;77.041
0.0123006;77.0366
0.0123316;77.0322
0.0123626;77.0278
0.0123935;77.0233
0.0124245;77.0189
0.0124555;77.0145
0.0124865;77.01
0.0125175;77.0056
0.0125485;77.0012
0.0125794;76.9967
0.0126104;76.9922
0.0126414;76.9878
0.0126724;76.9833
0.0127034;76.9788
0.0127344;76.9743
0.0127654;76.9698
0.0127963;76.9653
0.0128273;76.9608
0.0128583;76.9563
0.0128893;76.9518
0.0129203;76.9473
0.0129513;76.9427
0.0129822;76.9382
0.0130132;76.9337
0.0130442;76.9291
0.0130752;76.9245
0.0131062;76.92
0.0131372;76.9154
0.0131681;76.9108
0.0131991;76.9063
0.0132301;76.9017
0.0132611;76.8971
0.0132921;76.8925
0.0133231;76.8879
0.013354;76.8833
0.013385;76.8787
0.013416;76.874
0.013447;76.8694
0.013478;76.8648
0.013509;76.8601
0.0135399;76.8555
0.0135709;76.8508
0.0136019;76.8462
0.0136329;76.8415
0.0136639;76.8369
0.0136949;76.8322
0.0137259;76.8275
0.0137568;76.8228
0.0137878;76.8181
0.0138188;76.8134
0.0138498;76.8087
0.0138808;76.804
0.0139118;76.7993
0.0139427;76.7946
0.0139737;76.7899
0.0140047;76.7851
0.0140357;76.7804
0.0140667;76.7757
0.0140977;76.7709
0.0141286;76.7662
0.0141596;76.7614
0.0141906;76.7567
0.0142216;76.7519
0.0142526;76.7471
0.0142836;76.7423
0.0143145;76.7376
0.0143455;76.7328
0.0143765;76.728
